0,ID_REF,GSM83897,GSM85205,GSM85206,GSM85207,GSM85208,GSM85209,GSM85210,GeneID,Chromosome,Start,End
84,200065_s_at,4914.6,3531.9,3191.1,3372.5,5786.3,4743.1,2549.2,MIR3620,1,228097263,228097341
85,200066_at,826.6,619.6,506.9,560.7,805.2,827.3,486.1,IK,5,140647058,140662479
86,200067_x_at,1671,1906.5,2517.4,3075.6,4968.6,3727.9,1980.9,SNX3,6,108211222,108261260
87,200068_s_at,1688,2082.6,2169.9,1282.6,1231.8,1158.9,2125,CANX,5,179678628,179730925
88,200069_at,188.3,280.3,308.2,159.5,283.3,156.4,234,SART3,12,108522580,108561400
89,200070_at,1972.4,1894.3,1241.7,2991.4,2036.1,2797.5,2587.4,CNPPD1,2,219171897,219178106
90,200071_at,546.5,516.7,758.7,413.6,506,627.7,623.9,SMNDC1,10,110290730,110304951
91,200072_s_at,472.2,475.5,514,512.7,295.4,371.8,567.5,HNRNPM,19,8444767,8489114
92,200073_s_at,874.7,697.9,530.6,393.3,591.7,423,406.5,HNRNPD,4,82352498,82374503
93,200074_s_at,1338.5,1869.9,2241.5,846.8,410.9,292.7,1982.4,RPL14,3,40457292,40468587
94,200075_s_at,6824.2,6639.9,4515.1,11375.3,9962.2,9835.9,8522,GUK1,1,228139962,228148984
95,200076_s_at,786.8,701.9,487.7,524.6,547.5,902,713,KXD1,19,18557762,18569387
96,200077_s_at,45757.5,39352.9,29871.5,47549.7,59252.6,58617.9,47625.5,OAZ1,19,2269509,2273490
97,200078_s_at,4852.5,2813.5,4468.9,2501.7,3795.8,3684.2,2540.8,ATP6V0B,1,43974487,43978295
98,200079_s_at,949.7,1430.2,1087.8,1542.7,1537.6,1270.6,1175.5,KARS,16,75627474,75648643
99,200080_s_at,30207.5,22569.3,23325.4,19939.8,29406.1,21925,20015.8,H3F3A,1,226061851,226072001
100,200081_s_at,6538.8,4864.4,6086.5,3156.1,1826.2,1717.5,6479.6,RPS6,9,19375715,19380254
101,200082_s_at,1838.4,1898.9,2034.9,1198.5,753.3,1227.3,2224.5,RPS7,2,3575205,3580920
102,200083_at,833.7,1253.7,1230.7,917.8,907.6,888,1007.6,USP22,17,20999593,21043760
103,200084_at,854.3,1021.9,976.5,776.8,578.3,807,683.8,C11orf58,11,16613132,16756881
104,200085_s_at,4101.3,4239.4,4279.8,3314.1,6168.1,7402.3,3596.9,TCEB2,,,
105,200086_s_at,1197.3,1550.9,2315.2,1295.4,1115.7,1439.8,1626.5,COX4I1,16,85798633,85807044
106,200087_s_at,1030.8,955.7,1095.7,821.1,789.5,632.1,855.2,TMED2,12,123584531,123598577
107,200088_x_at,17464.9,18379,12697.4,21099.7,16000.2,22887.7,12793,RPL12,9,127447674,127451405
108,200089_s_at,2571.6,2572.9,2652.6,2994,1730.8,1527.5,3058.4,SNORD16,15,66502812,66502910
109,200090_at,809.2,812.1,1069.4,623.6,508.6,671.6,794.8,FNTA,8,43034194,43085788
110,200091_s_at,4438.7,4138.6,4825.2,2609.7,3683.1,3021.5,4993.2,RPS25,11,119015712,119018691
111,200092_s_at,8099.7,8529,9527.2,7299.1,3767.3,4093.6,11913,RPL37,5,40825262,40835335
112,200093_s_at,269.3,320.3,363.4,245.2,56.5,32.1,347.4,HINT1,5,131159027,131171735
113,200094_s_at,3376.3,3935.7,1674.3,3672.5,2361.7,2090.7,3874.8,EEF2,19,3976056,3985469
114,200095_x_at,14809.2,12724.4,15874.4,11586.4,9257.5,10485.7,15453.2,RPS10,6,34417454,34426125
115,200096_s_at,2449.2,2170,3445.7,1820.9,2444.5,2136.9,1685.4,ATP6V0E1,5,172983757,173035445
116,200097_s_at,1653.7,1175.8,1401.4,1075,1770.7,1396.8,1154,HNRNPK,9,83968083,83980616
117,200098_s_at,723.5,1018.5,846.3,747.9,632.2,300,771.1,ANAPC5,12,121308245,121399896
118,200099_s_at,10000.1,8393.1,15106.6,5878.7,3046.9,3414.5,14308.6,RPS3A,4,151099573,151104652
119,200593_s_at,1073.8,597.3,695.7,571.5,954.9,1097.6,609.4,HNRNPU,1,244840638,244864560
120,200595_s_at,321.2,385.2,556.4,108.3,218.7,249.5,396.5,EIF3A,10,119033670,119080823
121,200599_s_at,522.1,687,424,372.5,256.3,346.1,554.2,MIR3652,12,103930425,103930555
122,200600_at,5134.2,4433.5,3623.6,3362.7,5572.1,4298.2,2702.3,MSN,X,65588377,65741931
123,200601_at,1478.9,1119.4,714.3,759.7,1054.2,1395,918.8,ACTN4,19,38647649,38731583
124,200602_at,132.5,15.2,126.3,187.2,44.1,67.4,156.6,APP,21,25880550,26171128
125,200603_at,4606.3,3397.9,5119.2,2358.8,4670.7,3371.8,2955.7,PRKAR1A,17,68511780,68551319
126,200606_at,76.6,271.3,194.6,272.2,242,318.4,320.7,DSP,6,7541575,7586717
127,200608_s_at,891.8,487.6,984.1,382.3,763.8,574.9,618.4,RAD21,8,116845935,116874866
128,200609_s_at,1349.6,2098.8,1693.7,1440,1917.7,1082.4,1649.3,WDR1,4,10074339,10116949
129,200610_s_at,437.6,996.3,1085.7,898.8,407.6,514.5,1104.9,NCL,2,231453531,231483641
130,200612_s_at,832.4,1132,663.3,907.8,830.7,1184.7,719.3,AP2B1,17,35578046,35726409
131,200613_at,1745.3,2578.3,1501.7,3024.4,4965.1,3227.8,2814.2,AP2M1,3,184174689,184184091
132,200614_at,1954,2057,2855.5,1235.2,1567.5,1597.3,2018.8,CLTC,17,59619689,59696956
133,200618_at,2786.8,2410.7,2349,2021.8,2035,2278.5,1820.9,LASP1,17,38869859,38921770
134,200619_at,84.6,105.1,88.3,92.6,158.3,116.3,90.3,SF3B2,11,66050729,66069308
135,200620_at,2664.5,1395.2,2871.4,1817.2,2593.9,2592,946.6,TMEM59,1,54026681,54053504
136,200621_at,731,1022.5,946.5,1168.9,889.3,965.1,902.5,CSRP1,1,201483530,201509456
137,200623_s_at,338.2,44.9,71.3,100,59.5,67.5,53.5,CALM1,14,90396502,90408261
138,200626_s_at,402.7,351.8,489.5,155.5,96.8,140.5,515.3,SNHG4,5,139274102,139284899
139,200627_at,1001.1,1209.7,1318.8,1362.2,757.8,454.7,1172.4,PTGES3,12,56663341,56688408
140,200629_at,501.4,806.7,453.6,279.9,420.9,609.8,480.1,WARS,14,100333788,100376805
141,200631_s_at,880.7,913.3,1001.8,711.3,359.5,338.9,857.7,SET,9,128683424,128696400
142,200632_s_at,1092.6,1041.5,848,1430.6,1026.4,1315.6,1044.2,NDRG1,8,133237171,133302022
143,200633_at,74295.4,62872.1,59842.4,110966.3,120444.9,99400.6,78094.9,UBB,17,16380798,16382745
144,200634_at,4181.6,6657.8,4368.6,2880.3,3060.4,3709.9,4168.6,PFN1,17,4945652,4949061
145,200636_s_at,43.7,67.2,25.5,56.5,42.9,38.1,71.1,PTPRF,1,43525187,43623666
146,200640_at,4345.2,4510.7,4638.4,3007.8,3619.7,3501.5,3272.1,YWHAZ,8,100916525,100953388
147,200642_at,998,1135.7,1081.2,935.1,853.8,725.9,1335.7,SOD1,21,31659622,31668931
148,200643_at,108.4,84,87.4,66.1,111.5,72.3,70.2,HDLBP,2,241227264,241317061
149,200644_at,1271,1257.4,913.8,1250.3,1628.2,1083.8,1289.2,MARCKSL1,1,32333832,32336379
150,200645_at,12117,8898.8,7632.1,6949.8,12935.4,11174.3,6479.7,GABARAP,17,7240014,7242770
151,200649_at,1402,880.1,641.8,1095.1,1570.9,1106.2,1150.6,NUCB1,19,48900050,48923372
152,200650_s_at,1820.3,2067.6,2034.7,1373.1,1070.5,1021.9,1321.1,LDHA,11,18394388,18408425
153,200651_at,3188.5,5213,3872.2,3068.1,1681.6,1966,4108.3,RACK1,5,181236909,181248096
154,200652_at,1710.1,1764.9,1462.9,1216.1,1724.9,1625.7,1992.4,SSR2,1,156009048,156020959
155,200655_s_at,2239.1,3106.9,2538.8,2086,1907.3,1920.5,1710.9,CALM1,14,90396502,90408261
156,200656_s_at,624.7,885.3,507.5,442.1,493.8,780,566.5,P4HB,17,81843159,81860694
157,200657_at,1171.7,1531.4,1368.9,1082.5,670.5,947.1,1002.2,SLC25A5,X,119468400,119471319
158,200658_s_at,220.6,28.1,233.5,39.3,159.6,99,393.6,PHB,17,49404049,49414905
159,200660_at,4742.4,3568.7,4329.1,3041.4,4325.1,2288.1,2587.6,S100A11,1,152032506,152047907
160,200661_at,96.6,56.9,75.4,84.4,46.2,82.2,69.9,CTSA,20,45890144,45898820
161,200662_s_at,303.7,490.3,407.8,396.2,227.6,371.1,506.4,TOMM20,1,235109336,235128936
162,200663_at,4575,3899.4,3522.7,2203.7,3110.8,2654.6,1742.7,CD63,12,55725323,55729707
163,200665_s_at,301.9,129.6,373.9,283.1,23,188.5,206.8,SPARC,5,151661096,151687165
164,200666_s_at,986,932.3,769.7,691.5,804.7,926.2,920.3,DNAJB1,19,14514770,14529770
165,200668_s_at,6696.6,4253.4,5959.6,5523.9,10441.9,9772.2,4766.2,UBE2D3,4,102794383,102868896
166,200670_at,273.8,717.3,508.4,484.5,153.1,384.2,571,XBP1,22,28794555,28800597
167,200673_at,1505.9,1450.8,1948.5,777.5,1415.9,939.2,805.8,LAPTM4A,2,20032650,20052028
168,200674_s_at,13145,14567.1,13224.8,15718.2,9335.3,14744.4,13764.8,RPL32,3,12834485,12841588
169,200675_at,714.8,1394.4,652.8,879,457.8,542,929.7,CD81,11,2376177,2397419
170,200677_at,3351.1,3131.5,3685.3,2418.8,2937.1,2398.4,2179.3,PTTG1IP,21,44849585,44873903
171,200679_x_at,198.4,358.3,561.5,162,222.3,186.3,213,HMGB1,13,30456704,30617597
172,200681_at,87.2,257.7,130.2,61.7,54.2,63,45.2,GLO1,6,38675925,38703141
173,200682_s_at,1342.5,1506.9,1181.6,1257.8,1172.3,770.4,1059.1,UBE2L3,22,21549447,21624034
174,200686_s_at,723,807.7,1223.8,597.3,407.5,670.6,891.7,SRSF11,1,70205682,70253052
175,200687_s_at,180,534.5,497.8,705.6,159.7,545.8,225.9,SF3B3,16,70523788,70577670
176,200691_s_at,509.7,478.9,450.9,445.6,212.4,295.9,620.7,HSPA9,5,138553756,138575724
177,200694_s_at,824.3,950.1,473.1,421.5,440.1,654,546.5,DDX24,14,94048291,94081245
178,200695_at,1744.8,1733,1395.3,2600.3,1375.7,1950.7,2087.1,PPP2R1A,19,52190039,52229533
179,200696_s_at,1765,1556.5,1151.8,1584.4,1791.5,1556.5,1374,GSN,9,121207794,121332843
180,200697_at,1365.4,1502.2,1033.2,2425.3,3185.5,1806,1804.5,HK1,10,69269984,69401884
181,200699_at,357.8,506.6,581.7,388.2,411.8,245.7,413,KDELR2,7,6445953,6484242
182,200701_at,2389.4,1735.4,2331.6,1001.4,1882.8,2014.3,1114.3,NPC2,14,74476192,74494177
183,200703_at,147.4,365.4,634,453.6,255.3,387.5,524.2,DYNLL1,12,120469850,120498493
184,200704_at,18914.2,10690.3,13622.9,10818.5,18756.7,15509.7,8247.6,LITAF,16,11547722,11636381
185,200705_s_at,2822.2,1913.2,3648.1,2732.7,1103.4,1018.3,2935.8,EEF1B2,2,206159585,206162928
186,200707_at,502.6,593.7,775.6,435.8,553.4,411.6,755,PRKCSH,19,11435288,11450968
187,200708_at,247.8,292.8,501,336.4,293.3,74.4,224.7,GOT2,16,58707131,58734357
188,200709_at,1853.2,2606.9,2665,2389.8,2780.7,2482.6,2626.5,FKBP1A,20,1368978,1393172
189,200710_at,942.9,1004.7,974.2,518,885.8,921.1,1152.9,ACADVL,17,7217125,7225273
190,200713_s_at,1928.2,1872,1872.9,1996.2,1942.3,1480.4,1301.2,MAPRE1,20,32819893,32850405
191,200716_x_at,7744.6,7647.3,6061,5617.4,2688,3548,7897.2,RPL13A,19,49487554,49492308
192,200717_x_at,18093.7,13008.3,17642.3,15154.2,11783.6,16758,20212.4,RPL7,8,73290267,73295789
193,200718_s_at,4503.4,5125,5612.8,4315.5,6559.4,6290.3,4173.6,SKP1,5,134148935,134177038
194,200720_s_at,364.2,389.4,457.8,586.4,727.7,643.7,496.5,ACTR1A,10,102461881,102502711
195,200722_s_at,381.9,350.5,145.2,450.6,552.4,317.5,502.8,CAPRIN1,11,34051683,34101156
196,200726_at,1208.5,1537.3,2065.7,1217.5,1335.6,1302.3,1273,PPP1CC,12,110719680,110742939
197,200728_at,3821.1,3601.5,4698.2,2969.3,4867,4065,3109.9,ACTR2,2,65227753,65271253
198,200733_s_at,412.9,173.3,386.2,418.9,324.7,513.2,240.5,PTP4A1,6,63521746,63583377
199,200735_x_at,5323.6,4169.3,3177.4,4540.9,6539.5,4497.6,4670.5,NACA,12,56712428,56731628
200,200736_s_at,12480.1,8085.2,10592.7,11341.7,15465,26822.9,10081.9,GPX1,3,49357171,49358600
201,200738_s_at,3366.8,2744.3,3174,1438.7,2163,2002.6,1448.4,PGK1,X,77910739,78129296
202,200740_s_at,818.4,1221.2,1049.1,1040.7,629,667.3,969.7,SUMO3,21,44805617,44818779
203,200741_s_at,17081.4,21832.7,23602.3,13999.9,5900.5,8451.2,25952.8,RPS27,1,153990755,153992155
204,200743_s_at,1012.9,1404.2,953.5,832.5,1048.2,573.3,977.6,TPP1,11,6612763,6619485
205,200745_s_at,1316.1,1817.9,1329,1944.1,1395.9,1279.6,930.4,GNB1,1,1785285,1891117
206,200747_s_at,172,96.9,56.9,148.2,107,128.8,130.3,NUMA1,11,72002864,72080693
207,200748_s_at,26749.9,10150.4,17152,13363.7,22178.3,16702,11850.9,FTH1,11,61959718,61967660
208,200750_s_at,110.2,108.8,46.7,26.3,13.7,12.3,38.2,RAN,12,130871879,130877678
209,200752_s_at,384.6,291.9,344.5,387.1,361,94.2,452.2,CAPN1,11,65180566,65212006
210,200757_s_at,179.8,213.1,240.3,175.1,83.7,68.8,73.1,CALU,7,128739292,128771807
211,200761_s_at,2089,2591.6,3972.8,2227.8,1416.8,1556.3,2244.2,ARL6IP5,3,69084944,69106066
212,200762_at,130.9,266.3,184.9,197.5,19,63.3,137.6,DPYSL2,8,26514022,26658178
213,200763_s_at,17744.4,18334.9,16391.3,16194.4,10740.4,15625.9,18435.7,RPLP1,15,69452784,69456194
214,200764_s_at,554.5,533.2,409.4,629.7,589,703.5,514.9,CTNNA1,5,138610967,138935034
215,200766_at,266.8,387.2,271.1,426.3,339.7,542.4,339.9,CTSD,11,1752752,1764573
216,200768_s_at,593.6,502.7,857.7,448.1,291,647.1,654.5,MAT2A,2,85539165,85545280
217,200771_at,247.3,499.7,474.1,319.8,233.5,291.1,476.8,LAMC1,1,183023460,183145592
218,200773_x_at,3024.2,4642,3443.7,3203.5,1660.3,1365.6,3415.4,PTMA,2,231706895,231713541
219,200779_at,2369.6,1515.5,1867.8,1917.6,1916.4,1569.2,1896.7,ATF4,22,39519695,39522685
220,200781_s_at,11524.2,12074.3,13524.7,9171.1,8581.7,8827.2,10962.9,RPS15A,16,18781295,18790383
221,200782_at,1218.8,1256.2,1132.2,1165.2,954.6,647.1,1274.5,ANXA5,4,121667955,121697113
222,200783_s_at,183.4,91.5,125.4,213.7,34.2,49,39.6,STMN1,1,25884181,25906991
223,200785_s_at,540.1,609.7,511.5,657.1,690.5,376.9,620.8,LRP1,12,57128493,57213351
224,200786_at,511.7,521.5,392.3,126.2,46.3,320.2,102.1,PSMB7,9,124353466,124415444
225,200788_s_at,287.4,520.3,492.1,689.5,326.3,236.1,648.5,PEA15,1,160205337,160215376
226,200789_at,599.2,619.4,776.6,504.4,575.3,550,787.8,ECH1,19,38815422,38832005
227,200790_at,1549.8,3258.5,2617.9,4244.9,4655,4536.9,4272.8,ODC1,2,10439968,10448504
228,200792_at,490.9,838,522.9,377.6,501.3,174.1,421.3,XRCC6,22,41621119,41664048
229,200793_s_at,58.3,70.2,61.1,44.8,74.8,106.7,94.9,ACO2,22,41469125,41528989
230,200795_at,201.8,396.7,338.4,304.1,161.7,135.2,465.4,SPARCL1,4,87473335,87531061
231,200797_s_at,13442.5,7276.5,14396.2,10631.5,12392.1,9411.9,5787.7,MCL1,1,150574551,150579738
232,200800_s_at,1085.5,942.1,763.5,1353.6,1853,1200,749.7,HSPA1A,6,31815464,31817946
233,200802_at,762.6,898,972.4,974.2,807.5,984.1,903.1,SARS,1,109213918,109238169
234,200804_at,2711.3,1893.4,2062.1,1694.1,2076.3,2123.7,1716,TMBIM6,12,49707725,49764934
235,200805_at,126.8,109.8,204.6,116.1,95.2,104.9,112.2,LMAN2,5,177331562,177351852
236,200807_s_at,795.1,841.9,808.4,858.3,369.2,365.8,831.8,HSPD1,2,197486581,197516737
237,200808_s_at,2317.9,1481.4,1386.4,1666.4,2077.2,1684.3,1434.5,ZYX,7,143381080,143391111
238,200809_x_at,15303.3,15854.2,10573.6,16924.7,13248.6,17650.3,11040.4,RPL12,9,127447674,127451405
239,200810_s_at,699.9,424.5,417.5,406.6,243.2,244.8,485.8,CIRBP,19,1259384,1274880
240,200812_at,147.5,142.7,63.8,209.7,93.1,252.4,133.3,CCT7,2,73233420,73253021
241,200814_at,4181.3,3816,3946.4,3465.3,3851.4,3292.2,3156.4,PSME1,14,24136158,24138967
242,200816_s_at,398,466.5,391.1,288,739.7,542,183.2,PAFAH1B1,17,2593210,2685615
243,200817_x_at,25689.8,21491.4,26827.9,14091.1,14628.3,13466.4,21830.6,RPS10,6,34417454,34426125
244,200818_at,313.8,409.1,506.9,22.2,20.9,142.5,221.5,ATP5O,,,
245,200819_s_at,11163.7,12895.5,9176.1,13435.6,10985.2,11717.3,13012.7,RPS15,19,1438358,1440494
246,200820_at,227.3,75.4,63.7,42.2,42.9,89.8,124.9,PSMD8,19,38374536,38383824
247,200821_at,1384,1101.2,1998.9,545.8,1270.6,631.1,1245.9,LAMP2,X,120427827,120469365
248,200823_x_at,1290.4,1420.3,1709.2,926.9,540.4,657.2,1735,RPL29,3,51993522,51995942
249,200824_at,1129.6,1350.2,937.9,687.8,941.1,943.2,1153.7,GSTP1,11,67583595,67586656
250,200825_s_at,544.5,933.5,430.3,784.9,573.8,607.3,933.4,HYOU1,11,119044189,119057202
251,200826_at,693.7,537.4,1335,637.1,338.4,500.9,1004.2,SNRPD2,19,45687454,45692569
252,200827_at,503.1,296.4,323.3,366.8,387.6,607.1,240.1,PLOD1,1,11934205,11975538
253,200828_s_at,804.8,1236.7,887.5,915.9,754.1,878.2,947.6,ZNF207,17,32350117,32381886
254,200830_at,721.5,746,434.5,1135.9,994.9,580.6,504.7,PSMD2,3,184298709,184309054
255,200832_s_at,104.1,287.9,246.3,571.5,90.2,306,48.3,SCD,10,100347124,100364834
256,200834_s_at,4350.7,6553.3,8084.4,3994.9,924.6,1208.5,7155.6,RPS21,20,62387116,62388520
